Design Intern, https://www.ziprecruiter.com/Salaries/Design-Intern-Salary-in-New-York-City,NY?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,13, 32,  $,  hour, hour
Design Intern, https://www.glassdoor.com/Salaries/new-york-city-design-intern-salary-SRCH_IL.0,13_IM615_KO14,27.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,49000, 76000,  $,  year
Independent Contractor Video Editor, https://www.ziprecruiter.com/Salaries/Independent-Contractor-Video-Editor-Salary?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,18, 49,  $,  hour, hour,  Based on local employers
Retail Sales Associate, https://www.indeed.com/cmp/Autozone/salaries/Retail-Sales-Associate/Port-Saint-Lucie-FL?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,16, 20,  $,  hour, hour,  Based on local employers
Retail Sales Associate, https://www.glassdoor.com/Salaries/port-st-lucie-fl-united-states-retail-sales-associate-salary-SRCH_IL.0,30_IM697_KO31,53.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,51000, 90000,  $,  year
sales associate, https://www.talent.com/salary?job=sales+associate&location=port+saint+lucie,+fl&utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Talent.com,23000, 70000,  $,  year, year
merchandiser, https://www.talent.com/salary?job=merchandiser&location=mcalester,+ok&utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Talent.com,23000, 40000,  $,  year, year
Merchandising Associate, https://www.indeed.com/cmp/The-TJX-Companies,-Inc./salaries/Merchandising-Associate/McAlester-OK?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,17, 20,  $,  hour, hour
accounting administrative assistant, https://www.talent.com/salary?job=accounting+administrative+assistant&location=elgin&utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Talent.com,37000,  $,  year, year,  Based on local employers,
Accounts Receivable Administrative Assistant, https://www.salary.com/research/salary/offering/accounts-receivable-administrative-assistant-salary/elgin-il?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,47000, 58000,  $,  year, year,  Based on local employers
